GEO_ID,NAME,No Vehicle Available (Owner occupied),No Vehicle Available (Owner occupied)_MOE,No Vehicle Available (Renter occupied),No Vehicle Available (Renter occupied)_MOE
1500000US010890002031,Block Group 1; Census Tract 2.03; Madison County; Alabama,0,13,46,47
1500000US010890024002,Block Group 2; Census Tract 24; Madison County; Alabama,17,29,61,70
1500000US010890024003,Block Group 3; Census Tract 24; Madison County; Alabama,0,13,159,156
1500000US010890024004,Block Group 4; Census Tract 24; Madison County; Alabama,0,13,17,38
1500000US010890025011,Block Group 1; Census Tract 25.01; Madison County; Alabama,0,13,151,116
1500000US010890025012,Block Group 2; Census Tract 25.01; Madison County; Alabama,0,13,55,65
1500000US010890025013,Block Group 3; Census Tract 25.01; Madison County; Alabama,0,13,58,90
1500000US010890025021,Block Group 1; Census Tract 25.02; Madison County; Alabama,0,13,0,13
1500000US010890025022,Block Group 2; Census Tract 25.02; Madison County; Alabama,0,13,0,13
1500000US010890025023,Block Group 3; Census Tract 25.02; Madison County; Alabama,0,13,149,158
1500000US010890026001,Block Group 1; Census Tract 26; Madison County; Alabama,0,13,31,28
1500000US010890026002,Block Group 2; Census Tract 26; Madison County; Alabama,0,13,0,13
1500000US010890026003,Block Group 3; Census Tract 26; Madison County; Alabama,0,13,37,58
1500000US010890027011,Block Group 1; Census Tract 27.01; Madison County; Alabama,9,14,0,13
1500000US010890027012,Block Group 2; Census Tract 27.01; Madison County; Alabama,0,13,0,13
1500000US010890027211,Block Group 1; Census Tract 27.21; Madison County; Alabama,15,24,8,13
1500000US010890027212,Block Group 2; Census Tract 27.21; Madison County; Alabama,10,15,0,13
1500000US010890027221,Block Group 1; Census Tract 27.22; Madison County; Alabama,9,13,0,13
1500000US010890027222,Block Group 2; Census Tract 27.22; Madison County; Alabama,0,13,17,26
1500000US010890028011,Block Group 1; Census Tract 28.01; Madison County; Alabama,0,13,0,13
1500000US010890028012,Block Group 2; Census Tract 28.01; Madison County; Alabama,0,13,72,123
1500000US010890028013,Block Group 3; Census Tract 28.01; Madison County; Alabama,0,13,11,18
1500000US010890028031,Block Group 1; Census Tract 28.03; Madison County; Alabama,0,13,0,13
1500000US010890028032,Block Group 2; Census Tract 28.03; Madison County; Alabama,13,21,0,13
1500000US010890028041,Block Group 1; Census Tract 28.04; Madison County; Alabama,0,13,0,13
1500000US010890028042,Block Group 2; Census Tract 28.04; Madison County; Alabama,16,26,0,13
1500000US010890029111,Block Group 1; Census Tract 29.11; Madison County; Alabama,20,22,0,13
1500000US010890029112,Block Group 2; Census Tract 29.11; Madison County; Alabama,31,48,0,13
1500000US010890029113,Block Group 3; Census Tract 29.11; Madison County; Alabama,0,13,0,13
1500000US010890029121,Block Group 1; Census Tract 29.12; Madison County; Alabama,0,13,0,13
1500000US010890029122,Block Group 2; Census Tract 29.12; Madison County; Alabama,6,11,0,13
1500000US010890029221,Block Group 1; Census Tract 29.22; Madison County; Alabama,0,13,0,13
1500000US010890029222,Block Group 2; Census Tract 29.22; Madison County; Alabama,0,13,0,13
1500000US010890029223,Block Group 3; Census Tract 29.22; Madison County; Alabama,0,13,0,13
1500000US010890029231,Block Group 1; Census Tract 29.23; Madison County; Alabama,17,28,0,13
1500000US010890029232,Block Group 2; Census Tract 29.23; Madison County; Alabama,0,13,0,13
1500000US010890029233,Block Group 3; Census Tract 29.23; Madison County; Alabama,0,13,0,13
1500000US010890029241,Block Group 1; Census Tract 29.24; Madison County; Alabama,0,13,86,58
1500000US010890029242,Block Group 2; Census Tract 29.24; Madison County; Alabama,0,13,0,13
1500000US010890030001,Block Group 1; Census Tract 30; Madison County; Alabama,0,13,76,77
1500000US010890030002,Block Group 2; Census Tract 30; Madison County; Alabama,0,13,57,73
1500000US010890031001,Block Group 1; Census Tract 31; Madison County; Alabama,6,10,52,38
1500000US010890031002,Block Group 2; Census Tract 31; Madison County; Alabama,14,22,87,45
1500000US010890031003,Block Group 3; Census Tract 31; Madison County; Alabama,0,13,113,84
1500000US010890101011,Block Group 1; Census Tract 101.01; Madison County; Alabama,16,26,26,32
1500000US010890101012,Block Group 2; Census Tract 101.01; Madison County; Alabama,0,13,0,13
1500000US010890101013,Block Group 3; Census Tract 101.01; Madison County; Alabama,0,13,0,13
1500000US010890101021,Block Group 1; Census Tract 101.02; Madison County; Alabama,46,56,0,13
1500000US010890101022,Block Group 2; Census Tract 101.02; Madison County; Alabama,35,54,0,13
1500000US010890102001,Block Group 1; Census Tract 102; Madison County; Alabama,13,20,0,13
1500000US010890102002,Block Group 2; Census Tract 102; Madison County; Alabama,0,13,0,13
1500000US010890102003,Block Group 3; Census Tract 102; Madison County; Alabama,0,13,0,13
1500000US010890103021,Block Group 1; Census Tract 103.02; Madison County; Alabama,0,13,13,21
1500000US010890103022,Block Group 2; Census Tract 103.02; Madison County; Alabama,12,20,0,13
1500000US010890103031,Block Group 1; Census Tract 103.03; Madison County; Alabama,0,13,0,13
1500000US010890103032,Block Group 2; Census Tract 103.03; Madison County; Alabama,37,42,0,13
1500000US010890103041,Block Group 1; Census Tract 103.04; Madison County; Alabama,0,13,0,13
1500000US010890103042,Block Group 2; Census Tract 103.04; Madison County; Alabama,7,11,22,37
1500000US010890103043,Block Group 3; Census Tract 103.04; Madison County; Alabama,19,31,0,13
1500000US010890103044,Block Group 4; Census Tract 103.04; Madison County; Alabama,0,13,0,13
1500000US010890104031,Block Group 1; Census Tract 104.03; Madison County; Alabama,0,13,0,13
1500000US010890104032,Block Group 2; Census Tract 104.03; Madison County; Alabama,0,13,17,28
1500000US010890104041,Block Group 1; Census Tract 104.04; Madison County; Alabama,49,68,0,13
1500000US010890104042,Block Group 2; Census Tract 104.04; Madison County; Alabama,0,13,15,24
1500000US010890104051,Block Group 1; Census Tract 104.05; Madison County; Alabama,0,13,0,13
1500000US010890104052,Block Group 2; Census Tract 104.05; Madison County; Alabama,14,22,0,13
1500000US010890104061,Block Group 1; Census Tract 104.06; Madison County; Alabama,0,13,0,13
1500000US010890104062,Block Group 2; Census Tract 104.06; Madison County; Alabama,63,81,0,13
1500000US010890105021,Block Group 1; Census Tract 105.02; Madison County; Alabama,0,13,0,13
1500000US010890105022,Block Group 2; Census Tract 105.02; Madison County; Alabama,0,13,0,13
1500000US010890105031,Block Group 1; Census Tract 105.03; Madison County; Alabama,0,13,0,13
1500000US010890105032,Block Group 2; Census Tract 105.03; Madison County; Alabama,0,13,16,27
1500000US010890105033,Block Group 3; Census Tract 105.03; Madison County; Alabama,0,13,27,44
1500000US010890105034,Block Group 4; Census Tract 105.03; Madison County; Alabama,28,44,0,13
1500000US010890105041,Block Group 1; Census Tract 105.04; Madison County; Alabama,0,13,0,13
1500000US010890105042,Block Group 2; Census Tract 105.04; Madison County; Alabama,0,13,0,13
1500000US010890105043,Block Group 3; Census Tract 105.04; Madison County; Alabama,0,13,0,13
1500000US010890105044,Block Group 4; Census Tract 105.04; Madison County; Alabama,0,13,0,13
1500000US010890105045,Block Group 5; Census Tract 105.04; Madison County; Alabama,0,13,0,13
1500000US010890106121,Block Group 1; Census Tract 106.12; Madison County; Alabama,0,13,0,13
1500000US010890106122,Block Group 2; Census Tract 106.12; Madison County; Alabama,0,13,15,24
1500000US010890106123,Block Group 3; Census Tract 106.12; Madison County; Alabama,0,13,33,38
1500000US010890106231,Block Group 1; Census Tract 106.23; Madison County; Alabama,0,13,0,13
1500000US010890106232,Block Group 2; Census Tract 106.23; Madison County; Alabama,0,13,0,13
1500000US010890106233,Block Group 3; Census Tract 106.23; Madison County; Alabama,15,25,0,13
1500000US010890106251,Block Group 1; Census Tract 106.25; Madison County; Alabama,0,13,0,13
1500000US010890106252,Block Group 2; Census Tract 106.25; Madison County; Alabama,0,13,107,126
1500000US010890106253,Block Group 3; Census Tract 106.25; Madison County; Alabama,0,13,0,13
1500000US010890106261,Block Group 1; Census Tract 106.26; Madison County; Alabama,0,13,0,13
1500000US010890106262,Block Group 2; Census Tract 106.26; Madison County; Alabama,0,13,15,25
1500000US010890106263,Block Group 3; Census Tract 106.26; Madison County; Alabama,0,13,18,30
1500000US010890106271,Block Group 1; Census Tract 106.27; Madison County; Alabama,0,13,85,94
1500000US010890106272,Block Group 2; Census Tract 106.27; Madison County; Alabama,19,40,88,101
1500000US010890106273,Block Group 3; Census Tract 106.27; Madison County; Alabama,0,13,0,13
1500000US010890106281,Block Group 1; Census Tract 106.28; Madison County; Alabama,22,32,0,13
1500000US010890106282,Block Group 2; Census Tract 106.28; Madison County; Alabama,12,20,0,13
1500000US010890106291,Block Group 1; Census Tract 106.29; Madison County; Alabama,89,76,9,16
1500000US010890106292,Block Group 2; Census Tract 106.29; Madison County; Alabama,57,64,0,13
1500000US010890106301,Block Group 1; Census Tract 106.30; Madison County; Alabama,14,26,0,13
1500000US010890106302,Block Group 2; Census Tract 106.30; Madison County; Alabama,0,13,0,13
1500000US010890106311,Block Group 1; Census Tract 106.31; Madison County; Alabama,0,13,12,19
1500000US010890106312,Block Group 2; Census Tract 106.31; Madison County; Alabama,0,13,0,13
1500000US010890107031,Block Group 1; Census Tract 107.03; Madison County; Alabama,0,13,0,13
1500000US010890107032,Block Group 2; Census Tract 107.03; Madison County; Alabama,23,35,0,13
1500000US010890107041,Block Group 1; Census Tract 107.04; Madison County; Alabama,8,14,0,13
1500000US010890107042,Block Group 2; Census Tract 107.04; Madison County; Alabama,0,13,0,13
1500000US010890107043,Block Group 3; Census Tract 107.04; Madison County; Alabama,0,13,15,27
1500000US010890107051,Block Group 1; Census Tract 107.05; Madison County; Alabama,14,23,14,25
1500000US010890107052,Block Group 2; Census Tract 107.05; Madison County; Alabama,0,13,0,13
1500000US010890107061,Block Group 1; Census Tract 107.06; Madison County; Alabama,5,13,0,13
1500000US010890107062,Block Group 2; Census Tract 107.06; Madison County; Alabama,0,13,0,13
1500000US010890107063,Block Group 3; Census Tract 107.06; Madison County; Alabama,78,91,0,13
1500000US010890108011,Block Group 1; Census Tract 108.01; Madison County; Alabama,45,57,0,13
1500000US010890108012,Block Group 2; Census Tract 108.01; Madison County; Alabama,0,13,0,13
1500000US010890108013,Block Group 3; Census Tract 108.01; Madison County; Alabama,0,13,0,13
1500000US010890108021,Block Group 1; Census Tract 108.02; Madison County; Alabama,0,13,0,13
1500000US010890108022,Block Group 2; Census Tract 108.02; Madison County; Alabama,0,13,0,13
1500000US010890108023,Block Group 3; Census Tract 108.02; Madison County; Alabama,0,13,0,13
1500000US010890109021,Block Group 1; Census Tract 109.02; Madison County; Alabama,12,14,23,20
1500000US010890109022,Block Group 2; Census Tract 109.02; Madison County; Alabama,0,13,0,13
1500000US010890109023,Block Group 3; Census Tract 109.02; Madison County; Alabama,11,17,33,46
1500000US010890109031,Block Group 1; Census Tract 109.03; Madison County; Alabama,0,13,16,35
1500000US010890109032,Block Group 2; Census Tract 109.03; Madison County; Alabama,0,13,0,13
1500000US010890109033,Block Group 3; Census Tract 109.03; Madison County; Alabama,0,13,0,13
1500000US010890109041,Block Group 1; Census Tract 109.04; Madison County; Alabama,0,13,0,13
1500000US010890109042,Block Group 2; Census Tract 109.04; Madison County; Alabama,0,13,0,13
1500000US010890109051,Block Group 1; Census Tract 109.05; Madison County; Alabama,0,13,0,13
1500000US010890109052,Block Group 2; Census Tract 109.05; Madison County; Alabama,14,23,0,13
1500000US010890109053,Block Group 3; Census Tract 109.05; Madison County; Alabama,0,13,15,27
1500000US010890110121,Block Group 1; Census Tract 110.12; Madison County; Alabama,17,28,0,13
1500000US010890110122,Block Group 2; Census Tract 110.12; Madison County; Alabama,0,13,0,13
1500000US010890110123,Block Group 3; Census Tract 110.12; Madison County; Alabama,0,13,0,13
1500000US010890110131,Block Group 1; Census Tract 110.13; Madison County; Alabama,0,13,0,13
1500000US010890110132,Block Group 2; Census Tract 110.13; Madison County; Alabama,7,15,0,13
1500000US010890110133,Block Group 3; Census Tract 110.13; Madison County; Alabama,0,13,0,13
1500000US010890110211,Block Group 1; Census Tract 110.21; Madison County; Alabama,0,13,21,35
1500000US010890110212,Block Group 2; Census Tract 110.21; Madison County; Alabama,0,13,0,13
1500000US010890110213,Block Group 3; Census Tract 110.21; Madison County; Alabama,0,13,91,76
1500000US010890110231,Block Group 1; Census Tract 110.23; Madison County; Alabama,0,13,76,69
1500000US010890110232,Block Group 2; Census Tract 110.23; Madison County; Alabama,18,31,0,13
1500000US010890110233,Block Group 3; Census Tract 110.23; Madison County; Alabama,0,13,0,13
1500000US010890110241,Block Group 1; Census Tract 110.24; Madison County; Alabama,0,13,0,13
1500000US010890110242,Block Group 2; Census Tract 110.24; Madison County; Alabama,0,13,0,13
1500000US010890110251,Block Group 1; Census Tract 110.25; Madison County; Alabama,0,13,0,13
1500000US010890110252,Block Group 2; Census Tract 110.25; Madison County; Alabama,0,13,0,13
1500000US010890110253,Block Group 3; Census Tract 110.25; Madison County; Alabama,32,37,0,13
1500000US010890110254,Block Group 4; Census Tract 110.25; Madison County; Alabama,0,13,0,13
1500000US010890110261,Block Group 1; Census Tract 110.26; Madison County; Alabama,8,15,0,13
1500000US010890110262,Block Group 2; Census Tract 110.26; Madison County; Alabama,0,13,0,13
1500000US010890110271,Block Group 1; Census Tract 110.27; Madison County; Alabama,0,13,0,13
1500000US010890110272,Block Group 2; Census Tract 110.27; Madison County; Alabama,14,23,0,13
1500000US010890110281,Block Group 1; Census Tract 110.28; Madison County; Alabama,0,13,0,13
1500000US010890110282,Block Group 2; Census Tract 110.28; Madison County; Alabama,0,13,23,37
1500000US010890110283,Block Group 3; Census Tract 110.28; Madison County; Alabama,68,104,0,13
1500000US010890111001,Block Group 1; Census Tract 111; Madison County; Alabama,0,13,6,9
1500000US010890111002,Block Group 2; Census Tract 111; Madison County; Alabama,0,13,0,13
1500000US010890112011,Block Group 1; Census Tract 112.01; Madison County; Alabama,0,13,0,13
1500000US010890112012,Block Group 2; Census Tract 112.01; Madison County; Alabama,32,38,0,13
1500000US010890112021,Block Group 1; Census Tract 112.02; Madison County; Alabama,0,13,91,131
1500000US010890112022,Block Group 2; Census Tract 112.02; Madison County; Alabama,0,13,0,13
1500000US010890112023,Block Group 3; Census Tract 112.02; Madison County; Alabama,0,13,0,13
1500000US010890112031,Block Group 1; Census Tract 112.03; Madison County; Alabama,0,13,0,13
1500000US010890112032,Block Group 2; Census Tract 112.03; Madison County; Alabama,71,90,52,80
1500000US010890112033,Block Group 3; Census Tract 112.03; Madison County; Alabama,0,13,0,13
1500000US010890113011,Block Group 1; Census Tract 113.01; Madison County; Alabama,0,13,0,13
1500000US010890113012,Block Group 2; Census Tract 113.01; Madison County; Alabama,0,13,0,13
1500000US010890113021,Block Group 1; Census Tract 113.02; Madison County; Alabama,0,13,43,54
1500000US010890113022,Block Group 2; Census Tract 113.02; Madison County; Alabama,0,13,18,25
1500000US010890113023,Block Group 3; Census Tract 113.02; Madison County; Alabama,12,19,0,13
1500000US010890114001,Block Group 1; Census Tract 114; Madison County; Alabama,0,13,10,15
1500000US010890114002,Block Group 2; Census Tract 114; Madison County; Alabama,12,22,0,13
1500000US010890114003,Block Group 3; Census Tract 114; Madison County; Alabama,31,39,4,6
1500000US010890114004,Block Group 4; Census Tract 114; Madison County; Alabama,0,13,19,28
